frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.720703, 1, 12.1135, 16.4767, 483.305, 0.0401198, -0.196926, -0.047194
2, 0.0333333, 0.781554, 1, 12.5929, 16.9807, 488.462, -0.0285025, -0.178104, -0.0658638
3, 0.0666667, 0.788915, 1, 12.6885, 16.9839, 489.277, -0.0172977, -0.174328, -0.0683316
4, 0.1, 0.792954, 1, 12.7544, 16.9697, 489.547, -0.0173324, -0.170579, -0.0700412
5, 0.133333, 0.795849, 1, 12.8604, 16.9636, 490.215, -0.017152, -0.166697, -0.0716365
6, 0.166667, 0.794503, 1, 12.8953, 16.9587, 490.082, -0.01624, -0.165384, -0.0731331
7, 0.2, 0.863388, 1, 12.6738, 17.0284, 491.192, -0.0141232, -0.156053, -0.0756914
8, 0.233333, 0.864196, 1, 12.1178, 16.9962, 491.364, -0.00421632, -0.156047, -0.0722118
9, 0.266667, 0.867081, 1, 11.0687, 16.9414, 489.448, -0.000529278, -0.149, -0.0708018
10, 0.3, 0.868253, 1, 10.7875, 16.7553, 490.213, -0.00403166, -0.146092, -0.0697337
11, 0.333333, 0.867253, 1, 10.7441, 16.881, 489.489, -0.00918613, -0.148483, -0.0685997
12, 0.366667, 0.868485, 1, 10.6798, 16.8067, 490.677, -0.0115352, -0.148526, -0.0669538
13, 0.4, 0.76662, 1, 10.3537, 16.625, 487.87, -0.0190769, -0.169744, -0.0617269
14, 0.433333, 0.781408, 1, 10.0574, 16.2727, 486.183, -0.0592192, -0.169163, -0.0712097
15, 0.466667, 0.778306, 1, 9.47622, 15.6592, 485.182, -0.0903026, -0.156567, -0.0778851
16, 0.5, 0.863551, 1, 9.00758, 15.4249, 483.322, -0.108565, -0.146973, -0.0896632
17, 0.533333, 0.754486, 1, 8.82625, 15.2316, 482.655, -0.0925744, -0.156763, -0.085843
18, 0.566667, 0.868446, 1, 8.93103, 15.4189, 485.761, -0.114052, -0.147852, -0.0967973
19, 0.6, 0.86568, 1, 8.93435, 15.5194, 484.59, -0.10042, -0.152446, -0.098473
20, 0.633333, 0.741719, 1, 9.37338, 15.9307, 484.488, -0.0814031, -0.164311, -0.0968686
21, 0.666667, 0.769671, 1, 10.6472, 16.7188, 486.399, -0.0858663, -0.164896, -0.102649
22, 0.7, 0.798706, 1, 12.1325, 17.2922, 488.005, -0.0755523, -0.179846, -0.10772
23, 0.733333, 0.806524, 1, 15.1086, 17.5643, 487.286, -0.0548101, -0.219651, -0.103792
24, 0.766667, 0.820947, 1, 16.9463, 17.6751, 485.274, -0.0456407, -0.249923, -0.100629
25, 0.8, 0.835613, 1, 18.8948, 17.6602, 485.979, -0.0280669, -0.278922, -0.0930161
26, 0.833333, 0.840717, 1, 20.6005, 17.5026, 483.745, -0.00427862, -0.30911, -0.0828487
27, 0.866667, 0.854327, 1, 21.8738, 17.012, 480.12, 0.00459195, -0.332629, -0.0804534
28, 0.9, 0.865696, 1, 22.9152, 16.7149, 478.474, 0.00721596, -0.357216, -0.0784794
29, 0.933333, 0.866337, 1, 22.9898, 16.7093, 479.028, 0.00839306, -0.357873, -0.0787037
30, 0.966667, 0.871471, 1, 23.641, 16.6217, 477.239, 0.0125608, -0.375342, -0.0770882
31, 1, 0.879467, 1, 24.2001, 16.7182, 475.411, 0.0156209, -0.395558, -0.0795076
32, 1.03333, 0.88381, 1, 24.9793, 16.6864, 476.148, 0.0272645, -0.40925, -0.0760887
33, 1.06667, 0.876842, 1, 25.5287, 16.3503, 475.427, 0.0347746, -0.429921, -0.072011
