frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.987908, 1, 34.5485, 85.1341, 684.578, -0.0307201, 0.0318668, -0.163765
2, 0.0333333, 0.988041, 1, 34.4954, 85.0978, 683.968, -0.0318844, 0.0442475, -0.175011
3, 0.0666667, 0.988637, 1, 34.549, 85.0015, 683.68, -0.0280571, 0.0490111, -0.180835
4, 0.1, 0.989027, 1, 34.5763, 84.951, 683.663, -0.025347, 0.0517334, -0.184382
5, 0.133333, 0.989187, 1, 34.5816, 84.8937, 683.348, -0.0230031, 0.0532309, -0.186222
6, 0.166667, 0.988136, 1, 35.2883, 83.8495, 682.295, -0.0270177, 0.0463789, -0.185606
7, 0.2, 0.98891, 1, 35.8536, 83.6378, 681.275, -0.0303444, 0.0469756, -0.185891
8, 0.233333, 0.987715, 1, 36.6292, 84.2457, 681.77, -0.0202659, 0.0394135, -0.186286
9, 0.266667, 0.987799, 1, 37.531, 85.4295, 682.362, -0.00855083, 0.032808, -0.182257
10, 0.3, 0.987989, 1, 38.4469, 86.9969, 681.586, 0.0109645, 0.0275966, -0.181409
11, 0.333333, 0.987685, 1, 39.2053, 88.2453, 679.802, 0.0243394, 0.0215448, -0.181902
12, 0.366667, 0.988813, 1, 39.7932, 89.5354, 676.999, 0.0333159, 0.0165974, -0.182158
13, 0.4, 0.989543, 1, 40.7082, 90.5496, 674.663, 0.0371494, 0.00692863, -0.185217
14, 0.433333, 0.989714, 1, 41.7336, 91.3914, 674.133, 0.0355879, 0.000511693, -0.184535
15, 0.466667, 0.989606, 1, 42.5603, 92.1719, 673.887, 0.0359828, -0.0069357, -0.185413
16, 0.5, 0.989949, 1, 42.6609, 92.6241, 673.228, 0.033147, -0.00189146, -0.185386
17, 0.533333, 0.989753, 1, 42.5973, 92.8911, 671.856, 0.0344786, -0.0114401, -0.190895
18, 0.566667, 0.990887, 1, 42.2029, 93.3592, 670.613, 0.0349262, -0.0128492, -0.19652
19, 0.6, 0.991225, 1, 41.6667, 94.5137, 672.439, 0.0360961, -0.00842916, -0.202857
20, 0.633333, 0.990696, 1, 40.8378, 96.121, 674.645, 0.0446033, 0.00680413, -0.210482
21, 0.666667, 0.990587, 1, 40.2699, 97.2653, 674.85, 0.0443845, 0.0103128, -0.221218
22, 0.7, 0.990266, 1, 40.0056, 98.5002, 675.935, 0.0460377, 0.0117051, -0.234261
23, 0.733333, 0.990348, 1, 39.8125, 99.6309, 674.447, 0.0571823, 0.00948846, -0.243446
24, 0.766667, 0.990614, 1, 39.9496, 100.94, 675.413, 0.0643268, 0.0114175, -0.249188
