frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU04_c, AU12_c, AU15_c, AU23_c, AU28_c, AU45_c
1, 0, 0.936757, 1, 0, 0, 0, 0, 0, 0, 0, 0.716568, 0.835059, 0, 0, 0, 0.594643, 0, 0, 1, 0, 1, 0, 0
2, 0.0333333, 0.936779, 1, 0, 0, 0, 0, 0, 0, 0, 0.688809, 0.619505, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
3, 0.0666667, 0.93332, 1, 0, 0, 0, 0, 0, 0, 0, 0.750482, 0.555902, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
4, 0.1, 0.93327, 1, 0, 0, 0, 0, 0, 0, 0, 0.795478, 0.577881, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
5, 0.133333, 0.933195, 1, 0, 0, 0, 0, 0, 0, 0, 0.794293, 0.570283, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
6, 0.166667, 0.939543, 1, 0, 0, 0, 0, 0, 0.585707, 0, 0.770914, 0.852415, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
7, 0.2, 0.93853, 1, 0, 0, 0, 0, 0, 0, 0, 0.764721, 0.809629, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
8, 0.233333, 0.937115, 1, 0, 0, 0, 0, 0, 0, 0, 0.684307, 0.625495, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
9, 0.266667, 0.936334, 1, 0, 0, 0, 0, 0, 0.599446, 0, 0.658461, 0.514631, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0
10, 0.3, 0.938816, 1, 0, 0, 0, 0, 0, 0.534138, 0, 0.651011, 0.753659, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0
11, 0.333333, 0.937616, 1, 0, 0, 0, 0, 0.508349, 0, 0, 0.697433, 0.92418, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
12, 0.366667, 0.936704, 1, 0, 0, 0, 0, 0, 0, 0, 0.637218, 0.852909, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
13, 0.4, 0.939937, 1, 0, 0, 0, 0, 0, 0, 0, 0.602392, 0.723369, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
14, 0.433333, 0.93547, 1, 0, 0, 0, 0, 0, 0, 0, 0.560811, 0.748687, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
15, 0.466667, 0.937623, 1, 0, 0, 0, 0, 0, 0, 0, 0.586929, 0.666461, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
16, 0.5, 0.941364, 1, 0, 0, 0, 0, 0, 0, 0, 0.713147, 0.732609, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
