frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.986617, 1, 69.2134, -20.5286, 577.175, -0.0296308, -0.112118, -0.0499574
2, 0.0333333, 0.986843, 1, 69.2446, -20.6499, 576.809, -0.0222164, -0.110203, -0.0533141
3, 0.0666667, 0.986994, 1, 69.2658, -20.7312, 576.855, -0.0170941, -0.109193, -0.0549697
4, 0.1, 0.987024, 1, 69.2615, -20.7573, 576.81, -0.0148172, -0.108698, -0.0554943
5, 0.133333, 0.986978, 1, 69.2695, -20.7801, 576.844, -0.0132336, -0.108555, -0.0554996
6, 0.166667, 0.987015, 1, 69.271, -20.7941, 576.802, -0.0123963, -0.108375, -0.0557135
7, 0.2, 0.986662, 1, 69.3649, -20.6504, 576.824, -0.00775345, -0.109712, -0.0563908
8, 0.233333, 0.98718, 1, 69.3004, -20.5003, 576.487, -0.00283855, -0.109105, -0.0562157
9, 0.266667, 0.987397, 1, 69.3167, -20.5571, 576.323, -0.00081795, -0.109632, -0.0567656
10, 0.3, 0.987613, 1, 69.3387, -20.6629, 575.586, 0.00374872, -0.110742, -0.0581336
11, 0.333333, 0.987086, 1, 69.313, -20.7566, 575.538, 0.00503492, -0.107019, -0.0572543
12, 0.366667, 0.987774, 1, 69.3141, -20.6095, 575.435, 0.0102868, -0.104807, -0.0581366
13, 0.4, 0.987291, 1, 69.3535, -20.4955, 575.822, 0.0152529, -0.104679, -0.0579719
14, 0.433333, 0.987833, 1, 69.1683, -20.2237, 574.58, 0.0203347, -0.106251, -0.0580695
15, 0.466667, 0.987887, 1, 69.0861, -20.1979, 574.715, 0.021768, -0.105862, -0.0571423
16, 0.5, 0.986763, 1, 68.9985, -20.2274, 573.963, 0.0240207, -0.109095, -0.0572888
17, 0.533333, 0.986957, 1, 68.9592, -20.2652, 574.416, 0.0231783, -0.108436, -0.0583744
18, 0.566667, 0.987363, 1, 69.0095, -20.1377, 576.213, 0.0210605, -0.107864, -0.0596306
19, 0.6, 0.986839, 1, 68.9609, -19.9163, 576.619, 0.0210883, -0.106859, -0.0608495
20, 0.633333, 0.986301, 1, 68.9574, -19.9193, 576.724, 0.0198833, -0.108093, -0.0606723
21, 0.666667, 0.986363, 1, 68.8861, -19.8285, 576.36, 0.0202663, -0.108738, -0.0605625
22, 0.7, 0.9858, 1, 68.9689, -20.029, 577.244, 0.018742, -0.107723, -0.0603738
23, 0.733333, 0.98572, 1, 68.8528, -20.0969, 577.194, 0.0202326, -0.108101, -0.0600653
24, 0.766667, 0.985366, 1, 68.8051, -20.1909, 577.285, 0.0194269, -0.108274, -0.0605733
25, 0.8, 0.985482, 1, 68.8524, -20.1059, 577.189, 0.0217482, -0.109862, -0.0597308
26, 0.833333, 0.985295, 1, 68.7001, -20.0391, 576.657, 0.0246914, -0.108596, -0.0597464
27, 0.866667, 0.984846, 1, 68.5651, -19.9377, 575.866, 0.0237917, -0.110467, -0.0589709
28, 0.9, 0.986087, 1, 68.6748, -20.0188, 576.587, 0.0232149, -0.110698, -0.0598604
29, 0.933333, 0.985353, 1, 68.5533, -20.0753, 575.717, 0.0242594, -0.111295, -0.0589873
30, 0.966667, 0.984862, 1, 68.6225, -20.036, 576.219, 0.0261819, -0.11166, -0.0589422
31, 1, 0.985805, 1, 68.5912, -19.986, 576.057, 0.0262759, -0.111523, -0.059904
32, 1.03333, 0.985901, 1, 68.556, -19.8083, 576.142, 0.028573, -0.111188, -0.0599769
33, 1.06667, 0.985704, 1, 68.6331, -19.8871, 576.681, 0.0300047, -0.111884, -0.057484
34, 1.1, 0.985564, 1, 68.5959, -19.8961, 576.496, 0.0309115, -0.112541, -0.0569456
35, 1.13333, 0.985746, 1, 68.6419, -19.8552, 576.323, 0.0298562, -0.112648, -0.0585064
36, 1.16667, 0.985911, 1, 68.591, -19.9461, 575.726, 0.0296564, -0.114202, -0.0593145
37, 1.2, 0.986001, 1, 68.682, -19.8764, 576.304, 0.0284113, -0.110933, -0.0601786
38, 1.23333, 0.986898, 1, 68.6406, -19.767, 575.928, 0.0312164, -0.111191, -0.0599365
39, 1.26667, 0.985415, 1, 68.7992, -19.6814, 576.768, 0.0309642, -0.109975, -0.0595357
40, 1.3, 0.985448, 1, 68.7649, -19.6687, 576.533, 0.0303013, -0.10837, -0.0595909
41, 1.33333, 0.985352, 1, 69.0729, -19.7518, 577.091, 0.0295537, -0.111746, -0.060414
42, 1.36667, 0.98581, 1, 69.1718, -19.7762, 576.879, 0.0288047, -0.110265, -0.0613639
43, 1.4, 0.98599, 1, 69.3628, -19.6141, 577.206, 0.0267641, -0.1098, -0.062287
44, 1.43333, 0.985931, 1, 69.7306, -19.4436, 577.95, 0.0266732, -0.109837, -0.0623622
45, 1.46667, 0.985892, 1, 69.9091, -19.2139, 577.072, 0.0303475, -0.111341, -0.0622735
46, 1.5, 0.985771, 1, 69.9299, -19.2065, 577.223, 0.0300924, -0.110862, -0.0617152
47, 1.53333, 0.985581, 1, 70.2647, -19.132, 577.738, 0.0336882, -0.113738, -0.0600965
48, 1.56667, 0.985716, 1, 70.5268, -19.1724, 577.666, 0.0337672, -0.114787, -0.0593719
49, 1.6, 0.985006, 1, 70.9311, -19.0216, 577.936, 0.0373115, -0.115453, -0.0590122
50, 1.63333, 0.985134, 1, 71.2993, -18.9333, 578.395, 0.0394023, -0.117582, -0.0577031
51, 1.66667, 0.985584, 1, 72.2053, -18.3554, 577.799, 0.0487394, -0.123153, -0.0557581
52, 1.7, 0.985552, 1, 72.1801, -18.3788, 577.635, 0.0511341, -0.122773, -0.0539933
53, 1.73333, 0.98487, 1, 72.9895, -17.9515, 577.9, 0.0624699, -0.125954, -0.0505978
54, 1.76667, 0.986047, 1, 73.36, -17.6674, 577.103, 0.0646629, -0.128076, -0.0512669
55, 1.8, 0.985681, 1, 73.6097, -17.3877, 576.672, 0.0647066, -0.130139, -0.0506037
56, 1.83333, 0.986032, 1, 73.9465, -17.0659, 576.464, 0.0699111, -0.131234, -0.049738
57, 1.86667, 0.987581, 1, 74.3038, -16.8732, 576.51, 0.0720399, -0.131417, -0.0491069
58, 1.9, 0.987414, 1, 74.2789, -16.8874, 576.341, 0.0715334, -0.130815, -0.0488625
59, 1.93333, 0.986818, 1, 74.6716, -16.5569, 576.877, 0.0758725, -0.132718, -0.0474877
60, 1.96667, 0.985987, 1, 74.7451, -16.4889, 576.131, 0.080106, -0.131746, -0.0472854
61, 2, 0.985902, 1, 75.1713, -16.5272, 576.829, 0.0828303, -0.13419, -0.0461966
62, 2.03333, 0.985348, 1, 75.2073, -16.1928, 576.395, 0.0858131, -0.13395, -0.0466518
63, 2.06667, 0.985214, 1, 75.4009, -15.9729, 576.254, 0.084774, -0.133834, -0.0474887
64, 2.1, 0.985365, 1, 75.563, -15.7586, 576.539, 0.086466, -0.135667, -0.0470678
65, 2.13333, 0.986125, 1, 75.6139, -15.3597, 575.89, 0.0897006, -0.135493, -0.0481554
66, 2.16667, 0.986502, 1, 75.7994, -15.4334, 576.121, 0.0921809, -0.137674, -0.04843
67, 2.2, 0.986955, 1, 75.7359, -15.1944, 576.593, 0.0958968, -0.136455, -0.0482416
68, 2.23333, 0.985569, 1, 75.4182, -14.7241, 574.909, 0.102511, -0.135726, -0.0492432
69, 2.26667, 0.985853, 1, 75.3291, -14.6188, 575.263, 0.099623, -0.136027, -0.0507484
70, 2.3, 0.985917, 1, 75.3333, -14.6167, 575.317, 0.100223, -0.136161, -0.0509873
71, 2.33333, 0.986156, 1, 75.0802, -14.4506, 575.495, 0.102041, -0.13305, -0.0515225
72, 2.36667, 0.985847, 1, 74.9462, -14.2128, 575.971, 0.104699, -0.13246, -0.0521052
73, 2.4, 0.986417, 1, 74.4287, -14.0467, 575.169, 0.107362, -0.129532, -0.0532043
74, 2.43333, 0.986464, 1, 73.9701, -14.043, 574.723, 0.106729, -0.126614, -0.0546444
75, 2.46667, 0.986048, 1, 73.5205, -13.7318, 574.923, 0.107828, -0.123663, -0.055913
76, 2.5, 0.986503, 1, 72.9675, -13.5038, 574.431, 0.113552, -0.123113, -0.0579244
77, 2.53333, 0.985744, 1, 72.3398, -13.2805, 574.84, 0.117201, -0.119965, -0.0589364
78, 2.56667, 0.98654, 1, 71.5393, -13.1254, 574.695, 0.119749, -0.114188, -0.0610027
79, 2.6, 0.986168, 1, 70.5612, -12.8437, 573.358, 0.123534, -0.112138, -0.0627539
80, 2.63333, 0.987339, 1, 69.67, -11.863, 573.598, 0.129806, -0.105953, -0.0655161
81, 2.66667, 0.986591, 1, 68.9915, -12.0018, 574.569, 0.127832, -0.0982215, -0.070389
82, 2.7, 0.987032, 1, 67.8289, -11.6288, 574.091, 0.128375, -0.0926988, -0.0751951
83, 2.73333, 0.986963, 1, 66.8011, -10.4886, 574.096, 0.132926, -0.0819878, -0.0813646
84, 2.76667, 0.98712, 1, 65.5693, -10.7415, 575.307, 0.134798, -0.0686628, -0.0841302
