frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU04_c, AU12_c, AU15_c, AU23_c, AU28_c, AU45_c
1, 0, 0.966731, 1, 1.4658, 0, 0, 0, 0, 0.507686, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0
2, 0.0333333, 0.967916, 1, 1.75105, 0, 0, 0, 0, 1.21494, 0, 0, 0.62827, 0, 0, 1.05984, 0, 0, 1, 0, 0, 1, 0, 0
3, 0.0666667, 0.96823, 1, 1.83118, 0, 0, 0.561194, 0, 1.11548, 0, 0, 0.506451, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
4, 0.1, 0.928056, 1, 2.00085, 0, 0, 0, 0, 1.22856, 0, 0, 0, 0, 0, 0.622952, 0, 0, 0, 0, 0, 1, 1, 0
5, 0.133333, 0.936026, 1, 1.69728, 0, 0, 0, 0, 1.41053, 0, 0, 0, 0.541047, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
6, 0.166667, 0.969595, 1, 1.57973, 0, 0, 0.566737, 0, 0.931421, 0, 0, 0, 0.605798, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
7, 0.2, 0.966427, 1, 1.89881, 0.565226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
8, 0.233333, 0.920682, 1, 2.00718, 0, 0, 0.757093, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0
9, 0.266667, 0.929551, 1, 1.83512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
10, 0.3, 0.970171, 1, 1.65799, 0, 0, 0.566883, 0, 0, 0, 0, 0, 0, 0, 0, 0.79035, 0, 0, 0, 0, 1, 0, 0
11, 0.333333, 0.93282, 1, 1.64772, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.702017, 0, 0, 0, 0, 1, 0, 0
12, 0.366667, 0.969919, 1, 1.52097, 0, 0, 0.609585, 0, 0.675062, 0, 0, 0, 0, 0, 0, 0.630373, 0, 1, 0, 0, 1, 0, 0
