frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
1, 0, 0.84818, 1, 0.15537, 0.117009, -0.980902, -0.0870358, 0.0886748, -0.992251, 0.200595, 0.458222, -0.865907, -0.041282, 0.441758, -0.896184
2, 0.0333333, 0.83949, 1, 0.147615, 0.120018, -0.981736, -0.0946598, 0.0907626, -0.991364, 0.206097, 0.491696, -0.846025, -0.0352528, 0.474832, -0.87937
3, 0.0666667, 0.836104, 1, 0.150415, 0.117827, -0.981576, -0.0957571, 0.0917676, -0.991166, 0.211012, 0.501201, -0.839209, -0.0340593, 0.487219, -0.872615
4, 0.1, 0.837168, 1, 0.151828, 0.119531, -0.981153, -0.0972631, 0.0923498, -0.990965, 0.212446, 0.509277, -0.833969, -0.0354207, 0.49398, -0.868752
5, 0.133333, 0.814633, 1, 0.152398, 0.127187, -0.980101, -0.0998053, 0.085466, -0.99133, 0.202589, 0.522511, -0.828215, -0.0482712, 0.492682, -0.86887
6, 0.166667, 0.811762, 1, 0.144498, 0.125495, -0.981515, -0.101437, 0.0807671, -0.991558, 0.191081, 0.534059, -0.823571, -0.0533026, 0.499688, -0.864564
7, 0.2, 0.814018, 1, 0.154076, 0.151002, -0.976452, -0.0504346, 0.0791574, -0.995586, 0.191008, 0.573578, -0.796571, -0.0107117, 0.517333, -0.855717
8, 0.233333, 0.816151, 1, 0.221763, 0.110456, -0.968824, -0.140896, 0.132402, -0.981131, 0.27843, 0.535872, -0.797068, -0.0833019, 0.557561, -0.825946
9, 0.266667, 0.802374, 1, 0.197124, 0.118335, -0.973211, -0.320535, -0.073507, -0.94438, 0.31492, 0.541419, -0.779545, -0.190449, 0.36128, -0.912801
10, 0.3, 0.804647, 1, 0.254559, 0.0507665, -0.965724, -0.223831, -0.072942, -0.971895, 0.479668, 0.517602, -0.708525, 0.0313279, 0.43572, -0.899537
11, 0.333333, 0.612571, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1
12, 0.366667, 0.827562, 1, 0.0798097, -0.131096, -0.988152, -0.194927, -0.00256537, -0.980814, 0.500844, 0.150953, -0.852273, 0.245616, 0.299473, -0.921948
