frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.961013, 1, 47.9798, 26.1981, 558.477, 0.191466, -0.0233243, 0.0301355
2, 0.0333333, 0.957146, 1, 47.8694, 26.0037, 557.609, 0.195912, -0.0271997, 0.0330364
3, 0.0666667, 0.956576, 1, 47.8269, 25.912, 556.924, 0.19915, -0.0255601, 0.0314034
4, 0.1, 0.957199, 1, 47.821, 25.8265, 556.742, 0.203812, -0.0254283, 0.0302819
5, 0.133333, 0.958074, 1, 47.8151, 25.758, 556.456, 0.206814, -0.0244613, 0.0290199
6, 0.166667, 0.958803, 1, 47.7998, 25.723, 556.084, 0.207024, -0.0228732, 0.0279767
7, 0.2, 0.959726, 1, 47.8139, 25.5958, 556.248, 0.202628, -0.0206565, 0.0285878
8, 0.233333, 0.960237, 1, 47.8235, 25.2878, 555.654, 0.197749, -0.0209656, 0.0286641
9, 0.266667, 0.964195, 1, 47.8662, 25.2888, 555.841, 0.197103, -0.0217202, 0.0283214
10, 0.3, 0.965417, 1, 48.0376, 25.2397, 555.611, 0.195303, -0.0190482, 0.0273311
11, 0.333333, 0.969543, 1, 48.1872, 25.2248, 553.897, 0.19587, -0.0163258, 0.028003
12, 0.366667, 0.963625, 1, 48.3013, 24.6566, 551.41, 0.181643, -0.0164679, 0.0323652
13, 0.4, 0.965957, 1, 48.2817, 24.2413, 550.224, 0.176202, -0.018738, 0.0313593
14, 0.433333, 0.968378, 1, 48.4252, 24.1052, 551.61, 0.179847, -0.0194037, 0.0318113
15, 0.466667, 0.964779, 1, 48.8983, 24.3144, 556.716, 0.178203, -0.0193568, 0.0317814
16, 0.5, 0.96392, 1, 49.0142, 24.2008, 558.449, 0.175587, -0.020627, 0.031818
17, 0.533333, 0.960236, 1, 48.7414, 23.9744, 558.198, 0.171447, -0.0199486, 0.0301296
18, 0.566667, 0.956241, 1, 48.6991, 23.9175, 557.646, 0.172901, -0.0204491, 0.0292638
19, 0.6, 0.95142, 1, 48.7644, 23.9155, 558.454, 0.173321, -0.0200498, 0.0289971
20, 0.633333, 0.953769, 1, 48.9835, 24.1703, 560.647, 0.173933, -0.0207545, 0.0299294
21, 0.666667, 0.95203, 1, 48.9314, 24.1676, 560.958, 0.173367, -0.0217558, 0.0305177
