frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
1, 0, 0.970318, 1, 0.0137887, 0.375684, -0.926645, -0.151036, 0.34283, -0.927176, -0.0911029, 0.619932, -0.779348, -0.252176, 0.571962, -0.780555
2, 0.0333333, 0.969034, 1, 0.0274028, 0.372608, -0.927584, -0.146889, 0.360086, -0.921283, -0.0751021, 0.627707, -0.774818, -0.246636, 0.595341, -0.764683
3, 0.0666667, 0.968866, 1, 0.0263595, 0.376276, -0.926133, -0.148298, 0.362282, -0.920195, -0.07481, 0.640964, -0.763916, -0.246552, 0.606697, -0.755732
4, 0.1, 0.96763, 1, 0.0245191, 0.374916, -0.926735, -0.147833, 0.362117, -0.920335, -0.075972, 0.647744, -0.758061, -0.245476, 0.614417, -0.749822
5, 0.133333, 0.967287, 1, 0.0211806, 0.374693, -0.926907, -0.148721, 0.362425, -0.920071, -0.0796754, 0.655209, -0.751234, -0.246743, 0.622308, -0.742867
6, 0.166667, 0.967078, 1, 0.0233576, 0.374172, -0.927065, -0.150132, 0.363191, -0.919539, -0.0772611, 0.659798, -0.747461, -0.247966, 0.627409, -0.738154
7, 0.2, 0.966947, 1, 0.0212044, 0.373985, -0.927192, -0.149229, 0.364009, -0.919363, -0.0798951, 0.662761, -0.744557, -0.247626, 0.631468, -0.734799
8, 0.233333, 0.966915, 1, 0.0204601, 0.373893, -0.927246, -0.149912, 0.364455, -0.919075, -0.0812409, 0.665391, -0.742061, -0.248921, 0.634386, -0.731842
9, 0.266667, 0.964985, 1, 0.000161816, 0.356307, -0.934369, -0.179345, 0.342568, -0.922216, -0.0917451, 0.6515, -0.753081, -0.268046, 0.614772, -0.741759
10, 0.3, 0.961474, 1, -0.00411142, 0.354515, -0.935041, -0.162786, 0.335769, -0.927771, -0.0959475, 0.648391, -0.755237, -0.25135, 0.610805, -0.750827
11, 0.333333, 0.957303, 1, 0.015018, 0.368227, -0.929614, -0.174534, 0.339819, -0.924154, -0.0772279, 0.661704, -0.745777, -0.262409, 0.61196, -0.746087
12, 0.366667, 0.955973, 1, 0.0315486, 0.354902, -0.934371, -0.179437, 0.317353, -0.931176, -0.0606293, 0.655075, -0.753127, -0.266213, 0.594737, -0.758564
13, 0.4, 0.950224, 1, 0.0123405, 0.375396, -0.926782, -0.166609, 0.332839, -0.928148, -0.0824116, 0.6676, -0.739945, -0.255867, 0.607557, -0.751935
14, 0.433333, 0.94697, 1, 0.0138875, 0.367222, -0.93003, -0.177169, 0.307113, -0.935036, -0.0744418, 0.662483, -0.745369, -0.258348, 0.586232, -0.767847
15, 0.466667, 0.946629, 1, -0.00143832, 0.351178, -0.936308, -0.180501, 0.310957, -0.933127, -0.0848927, 0.651475, -0.753905, -0.258418, 0.592353, -0.763111
16, 0.5, 0.949025, 1, 0.0166547, 0.360513, -0.932606, -0.171641, 0.322513, -0.930873, -0.0660222, 0.661062, -0.747421, -0.248992, 0.603427, -0.757548
17, 0.533333, 0.947383, 1, 0.00867945, 0.350369, -0.936571, -0.170116, 0.314685, -0.933828, -0.0681044, 0.652987, -0.754301, -0.241885, 0.598569, -0.76368
18, 0.566667, 0.946385, 1, 0.0434724, 0.352898, -0.934651, -0.200722, 0.321925, -0.925243, -0.0296446, 0.661222, -0.749604, -0.268766, 0.602106, -0.75182
19, 0.6, 0.936967, 1, 0.0327157, 0.361892, -0.931646, -0.19208, 0.330139, -0.924183, -0.0415175, 0.671183, -0.740128, -0.261437, 0.614484, -0.744352
20, 0.633333, 0.923881, 1, 0.0329997, 0.371554, -0.927825, -0.1916, 0.330206, -0.924258, -0.0408282, 0.685862, -0.726585, -0.259866, 0.62223, -0.738444
21, 0.666667, 0.941721, 1, 0.0422008, 0.314768, -0.94823, -0.201954, 0.306887, -0.930073, -0.024004, 0.643888, -0.764743, -0.265465, 0.605195, -0.750511
22, 0.7, 0.949631, 1, 0.0170254, 0.320601, -0.947061, -0.175673, 0.31869, -0.931438, -0.0504332, 0.644221, -0.763175, -0.241339, 0.617173, -0.748901
23, 0.733333, 0.963662, 1, 0.00268128, 0.352693, -0.935735, -0.193011, 0.311226, -0.93053, -0.064849, 0.666787, -0.742422, -0.25547, 0.606784, -0.752694
24, 0.766667, 0.964567, 1, 0.00581277, 0.350651, -0.936488, -0.21244, 0.315444, -0.924859, -0.0636466, 0.656385, -0.751737, -0.276955, 0.597162, -0.75279
