frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU04_c, AU12_c, AU15_c, AU23_c, AU28_c, AU45_c
1, 0, 0.735771, 1, 1.55942, 0, 0, 0.711013, 0, 0.510713, 0.54231, 0, 1.88475, 0, 0, 0.502134, 2.24668, 0, 0, 0, 0, 1, 0, 0
2, 0.0333333, 0.757391, 1, 1.50401, 0, 0, 0, 0, 1.20259, 0, 0, 1.97736, 0, 0, 0, 1.9601, 0, 0, 0, 0, 1, 0, 1
3, 0.0666667, 0.762033, 1, 1.4841, 0, 0, 0.585021, 0, 0.957435, 0, 0, 2.1306, 0, 0.535991, 0, 2.13723, 0, 0, 0, 0, 0, 0, 0
4, 0.1, 0.764294, 1, 1.6037, 0, 0, 0.550515, 0, 1.17464, 0, 0, 2.1082, 0, 0.508611, 0, 1.65927, 0, 0, 0, 0, 1, 0, 0
5, 0.133333, 0.765967, 1, 1.6508, 0, 0, 0.702561, 0, 0.906914, 0, 0, 1.78976, 0.528684, 0.625786, 0, 0.931868, 0, 0, 0, 0, 1, 0, 0
6, 0.166667, 0.767539, 1, 1.60466, 0, 0, 0.654041, 0, 0.899352, 0, 0, 1.9241, 0, 0.573179, 0, 1.21245, 0, 0, 0, 0, 1, 0, 0
7, 0.2, 0.765671, 1, 1.56023, 0, 0, 0.686066, 0.544857, 0, 0.525828, 0, 2.29596, 0.694636, 0.815307, 0, 1.33743, 0, 1, 0, 0, 1, 0, 1
8, 0.233333, 0.744272, 1, 1.72236, 0, 0, 0.536704, 0.760943, 0, 0.899552, 0.757507, 2.27797, 0, 0.751766, 0, 0, 0, 1, 0, 0, 1, 0, 1
9, 0.266667, 0.770312, 1, 1.61014, 0, 0, 0.591814, 0.786662, 0, 0.976596, 0.966899, 2.16271, 0.746849, 0.601004, 0, 0.510451, 0, 1, 0, 1, 1, 0, 1
10, 0.3, 0.782159, 1, 1.59407, 0, 0, 0.727815, 0.816831, 0, 1.0011, 1.06863, 2.04745, 0.702273, 0.704573, 0, 0.968744, 0, 1, 0, 1, 1, 0, 1
