frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
1, 0, 0.971758, 1, -0.0286496, 0.221716, -0.97469, -0.227061, 0.230076, -0.946313, 0.083878, 0.321333, -0.943244, -0.116367, 0.30934, -0.943805
2, 0.0333333, 0.970268, 1, -0.0354482, 0.230161, -0.972507, -0.237551, 0.237975, -0.941774, 0.0904375, 0.333733, -0.938319, -0.113626, 0.319475, -0.940758
3, 0.0666667, 0.96913, 1, -0.033843, 0.231573, -0.972229, -0.238328, 0.241514, -0.940676, 0.0938717, 0.343115, -0.934591, -0.112812, 0.329594, -0.937359
4, 0.1, 0.970069, 1, -0.0292473, 0.223243, -0.974324, -0.22498, 0.244771, -0.943118, 0.0977651, 0.337321, -0.936299, -0.101602, 0.33625, -0.936276
5, 0.133333, 0.97037, 1, -0.0305038, 0.22251, -0.974453, -0.225328, 0.242678, -0.943575, 0.0985214, 0.334519, -0.937225, -0.0997479, 0.332162, -0.937933
6, 0.166667, 0.970606, 1, -0.0295151, 0.222548, -0.974475, -0.226221, 0.242106, -0.943509, 0.100509, 0.333089, -0.937523, -0.0995464, 0.329811, -0.938784
7, 0.2, 0.970544, 1, -0.0308377, 0.222953, -0.974341, -0.225535, 0.241849, -0.943739, 0.100018, 0.332676, -0.937722, -0.0979287, 0.328816, -0.939303
8, 0.233333, 0.970336, 1, -0.0303105, 0.222406, -0.974483, -0.22598, 0.241177, -0.943804, 0.101588, 0.331091, -0.938114, -0.0973061, 0.326903, -0.940035
9, 0.266667, 0.971366, 1, -0.028508, 0.227012, -0.973475, -0.219631, 0.230937, -0.947856, 0.102549, 0.336759, -0.93599, -0.0893275, 0.318735, -0.943625
10, 0.3, 0.971517, 1, -0.0230214, 0.2409, -0.970277, -0.221334, 0.243848, -0.944219, 0.102547, 0.35505, -0.929206, -0.0963311, 0.335091, -0.937248
11, 0.333333, 0.971237, 1, 0.00879716, 0.222674, -0.974853, -0.236163, 0.242978, -0.940845, 0.136813, 0.340031, -0.930409, -0.111107, 0.331731, -0.936808
12, 0.366667, 0.971751, 1, -0.0325983, 0.246083, -0.9687, -0.226774, 0.253483, -0.940383, 0.0945881, 0.355803, -0.929762, -0.101109, 0.340381, -0.934836
13, 0.4, 0.970985, 1, -0.0407885, 0.247602, -0.968003, -0.204302, 0.245937, -0.94751, 0.0865469, 0.356052, -0.93045, -0.0767745, 0.335677, -0.938843
14, 0.433333, 0.971179, 1, -0.00886153, 0.230538, -0.973023, -0.224951, 0.24943, -0.941903, 0.120777, 0.340698, -0.932383, -0.0982106, 0.334362, -0.937313
15, 0.466667, 0.971479, 1, -0.0274857, 0.242367, -0.969795, -0.234874, 0.246949, -0.940133, 0.0980136, 0.354247, -0.930001, -0.110561, 0.3349, -0.935745
16, 0.5, 0.971485, 1, -0.0279715, 0.242806, -0.969671, -0.234139, 0.24906, -0.93976, 0.0969676, 0.355845, -0.929501, -0.110654, 0.33832, -0.934503
17, 0.533333, 0.971272, 1, -0.0326227, 0.240263, -0.970159, -0.22232, 0.247997, -0.942906, 0.0938335, 0.35056, -0.931828, -0.097371, 0.33626, -0.936722
18, 0.566667, 0.970931, 1, -0.0264139, 0.240421, -0.970309, -0.220075, 0.248315, -0.943349, 0.100219, 0.349961, -0.931388, -0.0948469, 0.335519, -0.937247
19, 0.6, 0.971604, 1, -0.0281676, 0.243402, -0.969516, -0.233108, 0.227734, -0.945409, 0.0991486, 0.353202, -0.930278, -0.103775, 0.314795, -0.943469
20, 0.633333, 0.972403, 1, -0.0283806, 0.231662, -0.972382, -0.237045, 0.228359, -0.944278, 0.100482, 0.340503, -0.934859, -0.108205, 0.313681, -0.943343
21, 0.666667, 0.972703, 1, -0.0237358, 0.238536, -0.970843, -0.234814, 0.24251, -0.941303, 0.103883, 0.344728, -0.932937, -0.108259, 0.324864, -0.939544
22, 0.7, 0.970853, 1, 0.00105976, 0.22894, -0.97344, -0.230107, 0.245732, -0.94163, 0.129466, 0.337797, -0.932272, -0.104196, 0.328263, -0.938822
23, 0.733333, 0.97114, 1, 0.00225847, 0.227577, -0.973758, -0.230186, 0.245481, -0.941676, 0.1294, 0.336161, -0.932873, -0.105707, 0.327807, -0.938813
24, 0.766667, 0.970594, 1, -0.0170278, 0.230425, -0.972941, -0.216471, 0.247342, -0.944438, 0.108521, 0.341516, -0.93359, -0.0935375, 0.335644, -0.937333
25, 0.8, 0.972604, 1, -0.00349068, 0.228048, -0.973644, -0.225655, 0.229751, -0.946728, 0.124044, 0.338868, -0.932621, -0.098271, 0.315712, -0.943753
26, 0.833333, 0.972178, 1, -0.0163761, 0.235493, -0.971738, -0.235552, 0.236978, -0.942527, 0.109611, 0.343238, -0.932831, -0.110085, 0.319615, -0.941131
27, 0.866667, 0.969427, 1, -0.0162157, 0.223951, -0.974466, -0.22357, 0.237039, -0.945425, 0.113106, 0.334731, -0.935501, -0.0963116, 0.323696, -0.941247
28, 0.9, 0.969437, 1, -0.0165583, 0.224677, -0.974293, -0.221109, 0.237176, -0.94597, 0.111902, 0.336782, -0.93491, -0.0945882, 0.325525, -0.940791
29, 0.933333, 0.971061, 1, -0.0140127, 0.235335, -0.971813, -0.222203, 0.235989, -0.94601, 0.115185, 0.344313, -0.931762, -0.093046, 0.321183, -0.942435
30, 0.966667, 0.970909, 1, -0.0106449, 0.24111, -0.970439, -0.218458, 0.233071, -0.947604, 0.118428, 0.351804, -0.928552, -0.0879274, 0.320548, -0.943143
31, 1, 0.97085, 1, -0.0259248, 0.229265, -0.973019, -0.224522, 0.233211, -0.946151, 0.104472, 0.337874, -0.935375, -0.0948905, 0.318575, -0.943136
32, 1.03333, 0.971386, 1, -0.0344968, 0.243064, -0.969397, -0.230331, 0.239902, -0.943077, 0.0935837, 0.350969, -0.931699, -0.102144, 0.325036, -0.940169
