frame, timestamp, confidence, success, Tx, Ty, Tz, Rx, Ry, Rz
1, 0, 0.981367, 1, 39.1582, -28.1154, 608.563, 0.173594, 0.0872941, -0.0448753
2, 0.0333333, 0.981969, 1, 39.0002, -28.2437, 605.601, 0.195647, 0.0887802, -0.0450554
3, 0.0666667, 0.982656, 1, 38.8019, -28.364, 602.993, 0.211086, 0.0862111, -0.0428811
4, 0.1, 0.982907, 1, 38.5821, -28.4908, 600.126, 0.230325, 0.0826622, -0.0379492
5, 0.133333, 0.982266, 1, 38.4131, -28.6815, 598.19, 0.250915, 0.0804738, -0.0329636
6, 0.166667, 0.980779, 1, 38.2557, -29.055, 597.125, 0.258784, 0.077028, -0.030542
7, 0.2, 0.980929, 1, 38.2142, -29.0575, 596.517, 0.260388, 0.0773944, -0.0293518
8, 0.233333, 0.980239, 1, 38.2556, -29.2375, 596.568, 0.260886, 0.0787136, -0.0293227
9, 0.266667, 0.981321, 1, 38.4395, -29.3051, 597.335, 0.261181, 0.0742197, -0.0288918
10, 0.3, 0.981539, 1, 38.5904, -29.2458, 597.368, 0.261486, 0.0724255, -0.0285334
11, 0.333333, 0.98134, 1, 38.7455, -29.3957, 597.328, 0.256771, 0.0708546, -0.0268968
12, 0.366667, 0.982506, 1, 38.9211, -29.556, 598.006, 0.254312, 0.0681739, -0.0258232
13, 0.4, 0.982823, 1, 39.1613, -29.9907, 597.987, 0.255789, 0.0676396, -0.0288793
14, 0.433333, 0.981777, 1, 39.5327, -30.1282, 598.171, 0.259522, 0.0645924, -0.031219
15, 0.466667, 0.981599, 1, 39.6356, -30.1341, 597.314, 0.255618, 0.0639224, -0.0307399
16, 0.5, 0.981372, 1, 39.9834, -30.0648, 597.58, 0.25441, 0.0608912, -0.0302433
17, 0.533333, 0.981139, 1, 40.2877, -30.1059, 598.2, 0.252991, 0.0559194, -0.0290727
18, 0.566667, 0.981868, 1, 40.8331, -30.3012, 598.593, 0.253542, 0.0541492, -0.0300257
19, 0.6, 0.98189, 1, 40.8534, -30.3185, 598.882, 0.253655, 0.0540418, -0.0300349
20, 0.633333, 0.982886, 1, 41.3653, -30.4385, 601.232, 0.252589, 0.0533553, -0.029429
21, 0.666667, 0.98393, 1, 41.8622, -30.606, 603.015, 0.256904, 0.05015, -0.0297726
22, 0.7, 0.981978, 1, 41.9094, -30.6525, 603.247, 0.257091, 0.0472559, -0.0288782
23, 0.733333, 0.981622, 1, 42.0152, -30.845, 603.356, 0.252647, 0.0456493, -0.0280885
