frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU04_c, AU12_c, AU15_c, AU23_c, AU28_c, AU45_c
1, 0, 0.964922, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.570918, 0, 1.54563, 0, 0, 0, 0, 0, 0, 0
2, 0.0333333, 0.967475, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71399, 0, 0, 0, 0, 0, 0, 0
3, 0.0666667, 0.967576, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.669134, 0, 0, 1.75008, 0, 1, 0, 0, 0, 0, 0
4, 0.1, 0.969204, 1, 0, 0, 0, 0.731216, 0, 0, 0, 0, 0, 0.828645, 0, 0, 1.535, 0, 1, 0, 0, 0, 0, 0
5, 0.133333, 0.969003, 1, 0, 0, 0, 0.522853, 0, 0.630956, 0, 0, 0, 0.803284, 0, 0, 1.77064, 0, 1, 0, 0, 0, 0, 0
6, 0.166667, 0.968318, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.664343, 0, 0, 1.78307, 0, 1, 0, 0, 0, 0, 0
7, 0.2, 0.968363, 1, 0, 0, 0, 0, 0, 0.540486, 0, 0, 0, 0, 0, 0, 1.3008, 0, 0, 0, 0, 0, 0, 0
8, 0.233333, 0.965415, 1, 0, 0, 0, 0, 0, 0.610608, 0, 0, 0, 0, 0, 0, 1.08652, 0, 0, 0, 0, 0, 0, 0
9, 0.266667, 0.969808, 1, 0, 0, 0, 0, 0, 0.665829, 0, 0, 0, 0, 0, 0, 1.34516, 0, 0, 0, 0, 0, 0, 0
10, 0.3, 0.967618, 1, 0, 0, 0.517301, 0, 0, 0.964832, 0, 0, 0, 0, 0, 0, 1.2692, 0, 0, 0, 0, 0, 0, 0
