frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU04_c, AU12_c, AU15_c, AU23_c, AU28_c, AU45_c
1, 0, 0.98309, 1, 0.517839, 0, 0, 0, 0, 0.611478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
2, 0.0333333, 0.982072, 1, 0.895528, 0.6436, 0, 0, 0, 0.960508, 0, 0, 0, 0.755405, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
3, 0.0666667, 0.981696, 1, 0.917625, 0, 0, 0.515858, 0, 0.653818, 0, 0, 0, 0.593706, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
4, 0.1, 0.981432, 1, 0.753771, 0, 0, 0.570597, 0, 0.513276, 0, 0, 0, 0.701277, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0
5, 0.133333, 0.981188, 1, 0.704384, 0, 0, 0, 0, 0.555342, 0, 0, 0, 0.551343, 0, 0.519486, 0, 0, 1, 0, 0, 1, 0, 0
6, 0.166667, 0.982537, 1, 0.733759, 0, 0, 0, 0, 0.877947, 0, 0, 0, 0.760441, 0.512603, 0, 0, 0, 1, 0, 0, 1, 0, 0
7, 0.2, 0.981582, 1, 0.701795, 0, 0, 0, 0, 0.555397, 0, 0, 0, 0.528728, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
8, 0.233333, 0.981587, 1, 0.786164, 0, 0, 0, 0, 0, 0, 0, 0, 0.665819, 0, 0.551866, 0, 0, 0, 0, 0, 1, 0, 0
9, 0.266667, 0.981142, 1, 0.8728, 0, 0, 0, 0, 0, 0, 0, 0, 0.699144, 0.535949, 0, 0, 0, 0, 0, 0, 1, 0, 0
10, 0.3, 0.979491, 1, 0.729508, 0, 0, 0.605276, 0, 0, 0, 0, 0, 0.628449, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0
11, 0.333333, 0.979971, 1, 0.848307, 0, 0, 0.717019, 0, 0, 0, 0, 0, 0.529676, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
12, 0.366667, 0.979138, 1, 0.93122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
13, 0.4, 0.981047, 1, 0.800658, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.816629, 0, 0, 0, 0, 0, 1, 0, 0
14, 0.433333, 0.980359, 1, 0.927582, 0, 0, 0.508861, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
15, 0.466667, 0.980315, 1, 0.718299, 0, 0, 0.763251, 0, 0.520733, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
16, 0.5, 0.982253, 1, 0.501748, 0.585822, 0, 0.918596, 0, 1.21285, 0, 0, 0.546084, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
17, 0.533333, 0.980706, 1, 0, 0, 0, 0.927473, 0, 0.683634, 0, 0, 0.57457, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
18, 0.566667, 0.981885, 1, 0, 0, 0, 0.730551, 0, 0.662007, 0, 0, 0.749417, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
19, 0.6, 0.982375, 1, 0, 0, 0, 0.605065, 0, 0, 0, 0.7004, 0.629116, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
20, 0.633333, 0.982138, 1, 0, 0, 0, 0.679291, 0.582199, 0, 0, 0.684604, 0.991817, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
21, 0.666667, 0.981989, 1, 0, 0, 0, 0.563623, 0, 0.736618, 0, 0.631406, 0.837411, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
22, 0.7, 0.981788, 1, 0, 0, 0, 0.532349, 0, 0.807517, 0, 0, 0.638829, 0, 0, 0.59211, 0, 0, 0, 1, 0, 1, 0, 0
23, 0.733333, 0.981872, 1, 0, 0, 0, 0.615595, 0, 0.721262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
24, 0.766667, 0.980922, 1, 0.611732, 0, 0, 0.563606, 0, 0.673756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
25, 0.8, 0.980179, 1, 0, 0, 0, 0.574136, 0, 0.57297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
26, 0.833333, 0.978988, 1, 0, 0, 0, 0.684251, 0, 1.22637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27, 0.866667, 0.97982, 1, 0.627315, 0, 0, 0, 0, 0.814327, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28, 0.9, 0.97957, 1, 0.657148, 0, 0, 0, 0, 0.547558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29, 0.933333, 0.979145, 1, 0.91756, 0, 0, 0.517853, 0, 0.878261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, 0.966667, 0.980682, 1, 0.948326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31, 1, 0.98083, 1, 0.905252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32, 1.03333, 0.980829, 1, 0.854527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, 1.06667, 0.981726, 1, 0.710262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34, 1.1, 0.980279, 1, 0.856882, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
35, 1.13333, 0.980245, 1, 0.805415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36, 1.16667, 0.980086, 1, 0.807227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
37, 1.2, 0.981699, 1, 0.911047, 0, 0, 0.539668, 0, 0.527352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
38, 1.23333, 0.981108, 1, 0.752388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
39, 1.26667, 0.980518, 1, 0.916883, 0, 0, 0.657438, 0, 0.610019, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
40, 1.3, 0.981078, 1, 0.539818, 0, 0, 0, 0, 0.81237, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
41, 1.33333, 0.979604, 1, 0.844913, 0, 0, 0, 0, 0.82116, 0, 0, 0, 0.591071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
42, 1.36667, 0.98091, 1, 1.0265, 0, 0, 0.527704, 0, 0.545656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43, 1.4, 0.980039, 1, 1.02634, 0, 0, 0.511492, 0, 0.70212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44, 1.43333, 0.963166, 1, 1.31173, 0, 0, 0.53702, 0, 0.540827, 0, 0, 0, 0, 0.568482, 0, 0, 0, 0, 0, 0, 0, 0, 1
45, 1.46667, 0.155623, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
46, 1.5, 0.0528253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
47, 1.53333, 0.0515118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
48, 1.56667, 0.083833, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
49, 1.6, 0.0213975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, -100, -100, -100, -100, -100
