frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU04_c, AU12_c, AU15_c, AU23_c, AU28_c, AU45_c
1, 0, 0.985527, 1, 0, 0.560374, 0, 0, 0, 0.720767, 0, 0, 0, 0, 0, 0, 0.712924, 0, 0, 0, 0, 1, 0, 0
2, 0.0333333, 0.986107, 1, 0, 0.846985, 0, 0, 0, 0.75942, 0, 0, 0, 0, 0, 0, 0.960209, 0, 0, 0, 0, 1, 0, 0
3, 0.0666667, 0.985968, 1, 0, 0.651751, 0, 0, 0, 0.777061, 0, 0, 0, 0, 0, 0, 1.0102, 0, 0, 0, 0, 1, 0, 0
4, 0.1, 0.985974, 1, 0, 0.662623, 0, 0, 0, 0.836745, 0, 0, 0, 0, 0, 0, 0.98143, 0, 0, 0, 0, 1, 0, 0
5, 0.133333, 0.985964, 1, 0, 0.671238, 0, 0, 0, 0.823103, 0, 0, 0, 0, 0, 0, 0.965768, 0, 0, 0, 0, 1, 0, 0
6, 0.166667, 0.985947, 1, 0, 0.641192, 0, 0, 0, 0.838112, 0, 0, 0, 0, 0, 0, 0.955325, 0, 0, 0, 0, 1, 0, 0
7, 0.2, 0.986155, 1, 0, 0.537321, 0, 0, 0, 0.503344, 0, 0, 0, 0, 0, 0, 0.854437, 0, 0, 0, 0, 1, 0, 0
8, 0.233333, 0.986055, 1, 0, 0.611136, 0, 0, 0, 0.587797, 0, 0, 0, 0, 0, 0, 0.887673, 0, 0, 0, 0, 1, 0, 0
9, 0.266667, 0.985918, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.651069, 1.29846, 0, 0, 0, 0, 1, 0, 0
10, 0.3, 0.986006, 1, 0, 0.630195, 0, 0, 0, 0.7404, 0, 0, 0, 0, 0, 0, 0.896892, 0, 0, 0, 0, 1, 0, 0
11, 0.333333, 0.986283, 1, 0, 0.59851, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.648757, 0, 0, 0, 0, 1, 0, 0
12, 0.366667, 0.986095, 1, 0, 0.62248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.573019, 0.625702, 0, 0, 0, 0, 1, 0, 0
13, 0.4, 0.986096, 1, 0, 0.538937, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.507754, 0.924137, 0, 0, 0, 0, 1, 0, 0
14, 0.433333, 0.985869, 1, 0, 0.608691, 0, 0, 0, 0.571534, 0, 0, 0, 0, 0, 0, 0.941922, 0, 0, 0, 0, 1, 0, 0
15, 0.466667, 0.98492, 1, 0, 0.580885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10158, 0, 0, 0, 0, 1, 0, 0
16, 0.5, 0.986381, 1, 0, 0.535246, 0, 0, 0, 0.588802, 0, 0, 0, 0, 0, 0, 0.912286, 0, 0, 0, 0, 1, 0, 0
17, 0.533333, 0.986374, 1, 0, 0, 0, 0, 0, 0.694205, 0, 0, 0, 0, 0, 0, 0.907091, 0, 0, 0, 0, 1, 0, 0
18, 0.566667, 0.986203, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.550373, 0.786814, 0, 1, 0, 0, 1, 0, 0
19, 0.6, 0.986323, 1, 0, 0.621708, 0, 0, 0, 0.709869, 0, 0, 0, 0, 0, 0, 1.10258, 0, 1, 0, 0, 1, 1, 0
20, 0.633333, 0.985576, 1, 0, 0, 0, 0, 0, 0.803547, 0, 0, 0, 0, 0, 0, 1.35168, 0, 1, 0, 0, 1, 0, 0
21, 0.666667, 0.98614, 1, 0, 0.529398, 0, 0, 0, 0.69911, 0, 0, 0, 0, 0, 0, 1.17055, 0, 1, 0, 0, 1, 0, 0
